M,N,hash_base,estrategia,tempo_inser_ms,tempo_busca_ms,colisoes,total_slots,top1,top2,top3,minGap,maxGap,avgGap
100000,100000,Hash Multiplicação,Linear,426,458,15177208,100000,0,0,0,0.0,1.0,3.000090002700081
1000000,100000,Hash Multiplicação,Linear,5,9,5523,1000000,0,0,0,0.0,119.0,9.00030000900027
1000000,1000000,Hash Multiplicação,Linear,30745,81203,353399734,1000000,0,0,0,0.0,5.0,5.312821108008352
10000000,1000000,Hash Multiplicação,Linear,229,357,55039,10000000,0,0,0,0.0,178.0,9.005312821108008
10000000,10000000,Hash Multiplicação,Linear,179875,183464,1141413884,10000000,0,0,0,0.0,12.0,0.005000076380005805
100000,100000,Hash Misto,Linear,456,465,15339645,100000,0,0,0,0.0,3.0,3.000090002700081
1000000,100000,Hash Misto,Linear,7,13,5506,1000000,0,0,0,0.0,135.0,9.00030000900027
1000000,1000000,Hash Misto,Linear,50436,83969,397947160,1000000,0,0,0,0.0,7.0,5.312821108008352
10000000,1000000,Hash Misto,Linear,171,286,55403,10000000,0,0,0,0.0,162.0,9.005312821108008
10000000,10000000,Hash Misto,Linear,253549,196305,1016071881,10000000,0,0,0,0.0,12.0,0.005000076380005805
100000,100000,Hash Divisão,Linear,541,545,18402482,100000,0,0,0,0.0,1.0,3.000090002700081
1000000,100000,Hash Divisão,Linear,6,7,5636,1000000,0,0,0,0.0,123.0,9.00030000900027
1000000,1000000,Hash Divisão,Linear,49267,56473,494947414,1000000,0,0,0,0.0,8.0,5.312821108008352
10000000,1000000,Hash Divisão,Linear,106,149,55670,10000000,0,0,0,0.0,132.0,9.005312821108008
10000000,10000000,Hash Divisão,Linear,272722,275323,1144215819,10000000,0,0,0,0.0,10.0,0.005000076380005805
100003,100000,Hash Multiplicação,Duplo,40,42,838666,100003,0,0,0,0.0,1.0,6.000180005400162
1000003,100000,Hash Multiplicação,Duplo,5,12,5372,1000003,0,0,0,0.0,133.0,9.000330009900297
1000003,1000000,Hash Multiplicação,Duplo,997,1114,6516875,1000003,0,0,0,0.0,1.0,5.342837046471676
10000019,1000000,Hash Multiplicação,Duplo,122,165,53524,10000019,0,0,0,0.0,137.0,9.00533183120237
10000019,10000000,Hash Multiplicação,Duplo,11030,17929,43057141,10000019,0,0,0,0.0,3.0,0.0050019858801509266
100003,100000,Hash Misto,Duplo,122,126,907826,100003,0,0,0,0.0,1.0,6.000180005400162
1000003,100000,Hash Misto,Duplo,10,15,5474,1000003,0,0,0,0.0,128.0,9.000330009900297
1000003,1000000,Hash Misto,Duplo,2130,2168,6446440,1000003,0,0,0,0.0,1.0,5.342837046471676
10000019,1000000,Hash Misto,Duplo,171,320,53426,10000019,0,0,0,0.0,131.0,9.00533183120237
10000019,10000000,Hash Misto,Duplo,21272,22817,43075615,10000019,0,0,0,0.0,3.0,0.0050019858801509266
100003,100000,Hash Divisão,Duplo,74,84,835276,100003,0,0,0,0.0,1.0,6.000180005400162
1000003,100000,Hash Divisão,Duplo,8,19,5373,1000003,0,0,0,0.0,136.0,9.000330009900297
1000003,1000000,Hash Divisão,Duplo,2180,2287,6540977,1000003,0,0,0,0.0,1.0,5.342837046471676
10000019,1000000,Hash Divisão,Duplo,185,290,53408,10000019,0,0,0,0.0,137.0,9.00533183120237
10000019,10000000,Hash Divisão,Duplo,19646,21986,43216691,10000019,0,0,0,0.0,3.0,0.0050019858801509266
100000,100000,Hash Multiplicação,Encadeamento,19,26,49877,100000,6,6,6,1.0,13.0,1.5797879903316008
1000000,100000,Hash Multiplicação,Encadeamento,29,25,5032,1000000,3,3,3,1.0,106.0,10.51232614614762
1000000,1000000,Hash Multiplicação,Encadeamento,383,428,499664,1000000,8,8,8,1.0,15.0,1.5816833640708978
10000000,1000000,Hash Multiplicação,Encadeamento,362,427,50520,10000000,4,3,3,1.0,147.0,10.512862510434035
10000000,10000000,Hash Multiplicação,Encadeamento,6429,7782,5039880,10000000,9,9,8,1.0,16.0,1.5858057368748397
100000,100000,Hash Misto,Encadeamento,15,30,49895,100000,7,6,6,1.0,12.0,1.580761934871957
1000000,100000,Hash Misto,Encadeamento,30,29,4938,1000000,3,3,3,1.0,134.0,10.501874625862486
1000000,1000000,Hash Misto,Encadeamento,293,560,499889,1000000,8,8,7,1.0,16.0,1.5815061647171949
10000000,1000000,Hash Misto,Encadeamento,359,407,50427,10000000,3,3,3,1.0,160.0,10.51226416978619
10000000,10000000,Hash Misto,Encadeamento,9560,7502,5034347,10000000,9,9,8,1.0,16.0,1.584831950725663
100000,100000,Hash Divisão,Encadeamento,13,27,50137,100000,7,6,6,1.0,12.0,1.5846380578093306
1000000,100000,Hash Divisão,Encadeamento,29,27,4988,1000000,3,3,3,1.0,120.0,10.506403723510438
1000000,1000000,Hash Divisão,Encadeamento,274,532,500605,1000000,8,8,7,1.0,13.0,1.582262798553809
10000000,1000000,Hash Divisão,Encadeamento,410,387,50105,10000000,3,3,3,1.0,179.0,10.508924715023893
10000000,10000000,Hash Divisão,Encadeamento,5467,7833,5032439,10000000,8,8,8,1.0,18.0,1.58494388743347
